shuffle_seed,model_seed,records,clean_macro_f1,shuffled_macro_f1,macro_f1_delta,ci95_low,ci95_high
13,13,255,0.9211233211233212,0.9417656270390187,0.02064230591569749,0.0,0.04262484896768253
13,42,255,0.9381958021619351,0.9624883542276197,0.02429255206568459,0.003669671486459022,0.04739678421231838
13,97,255,0.9404841291010937,0.9661489446435683,0.025664815542474573,0.008387713905680395,0.0485495970503462
42,13,255,0.9211233211233212,0.9415290880503144,0.020405766926993252,-0.0002587068366414591,0.04337987432413287
42,42,255,0.9381958021619351,0.9584040193135848,0.020208217151649666,0.0,0.04448152852176995
42,97,255,0.9404841291010937,0.9578763050085899,0.0173921759074962,0.0,0.03929887453282791
97,13,255,0.9211233211233212,0.9334464309017356,0.012323109778414443,-0.00446955246557014,0.030188556561588573
97,42,255,0.9381958021619351,0.9500848231763017,0.011889021014366619,-0.008704252045894473,0.03637429765512827
97,97,255,0.9404841291010937,0.9533471933471933,0.01286306424609962,0.0,0.02907402280988977
